Delay (ps) - A ch X	Lockin Signal - A ch X	Delay (ps) - A ch Y	Lockin Signal - A ch Y	Delay (ps) - B ch X	Lockin Signal - B ch X	Delay (ps) - B ch Y	Lockin Signal - B ch Y	
52.1650	1.06E-2	52.1650	-1.94E-3	52.1650	1.06E-2	52.1650	-1.94E-3	
52.1700	1.12E-2	52.1700	-1.81E-3	52.1700	1.12E-2	52.1700	-1.81E-3	
52.1750	1.15E-2	52.1750	-1.74E-3	52.1750	1.15E-2	52.1750	-1.74E-3	
52.1800	1.21E-2	52.1800	-1.59E-3	52.1800	1.21E-2	52.1800	-1.59E-3	
52.1850	1.28E-2	52.1850	-1.40E-3	52.1850	1.28E-2	52.1850	-1.40E-3	
52.1900	1.36E-2	52.1900	-1.12E-3	52.1900	1.36E-2	52.1900	-1.12E-3	
52.1950	1.40E-2	52.1950	-9.75E-4	52.1950	1.40E-2	52.1950	-9.75E-4	
52.2000	1.48E-2	52.2000	-7.06E-4	52.2000	1.48E-2	52.2000	-7.06E-4	
52.2050	1.52E-2	52.2050	-5.42E-4	52.2050	1.52E-2	52.2050	-5.42E-4	
52.2100	1.56E-2	52.2100	-3.57E-4	52.2100	1.56E-2	52.2100	-3.57E-4	
52.2150	1.60E-2	52.2150	-1.79E-4	52.2150	1.60E-2	52.2150	-1.79E-4	
52.2200	1.63E-2	52.2200	-4.77E-5	52.2200	1.63E-2	52.2200	-4.77E-5	
52.2250	1.64E-2	52.2250	0.00E+0	52.2250	1.64E-2	52.2250	0.00E+0	
52.2300	1.64E-2	52.2300	0.00E+0	52.2300	1.64E-2	52.2300	0.00E+0	
52.2350	1.63E-2	52.2350	-5.72E-5	52.2350	1.63E-2	52.2350	-5.72E-5	
52.2400	1.61E-2	52.2400	-1.53E-4	52.2400	1.61E-2	52.2400	-1.53E-4	
52.2450	1.58E-2	52.2450	-3.19E-4	52.2450	1.58E-2	52.2450	-3.19E-4	
52.2500	1.53E-2	52.2500	-5.15E-4	52.2500	1.53E-2	52.2500	-5.15E-4	
52.2550	1.47E-2	52.2550	-7.38E-4	52.2550	1.47E-2	52.2550	-7.38E-4	
52.2600	1.41E-2	52.2600	-9.98E-4	52.2600	1.41E-2	52.2600	-9.98E-4	
52.2650	1.35E-2	52.2650	-1.19E-3	52.2650	1.35E-2	52.2650	-1.19E-3	
52.2700	1.29E-2	52.2700	-1.38E-3	52.2700	1.29E-2	52.2700	-1.38E-3	
52.2750	1.23E-2	52.2750	-1.56E-3	52.2750	1.23E-2	52.2750	-1.56E-3	
52.2800	1.17E-2	52.2800	-1.70E-3	52.2800	1.17E-2	52.2800	-1.70E-3	
52.2850	1.11E-2	52.2850	-1.83E-3	52.2850	1.11E-2	52.2850	-1.83E-3	
52.2900	1.06E-2	52.2900	-1.93E-3	52.2900	1.06E-2	52.2900	-1.93E-3	
52.2950	1.03E-2	52.2950	-1.99E-3	52.2950	1.03E-2	52.2950	-1.99E-3	
52.3000	9.97E-3	52.3000	-2.03E-3	52.3000	9.97E-3	52.3000	-2.03E-3	
52.3050	9.73E-3	52.3050	-2.06E-3	52.3050	9.73E-3	52.3050	-2.06E-3	
52.3100	9.58E-3	52.3100	-2.08E-3	52.3100	9.58E-3	52.3100	-2.08E-3	
